RowOrder,GeneID,Cluster,SC0,SC1,SC2,SC3,SC4,SC5,SC6,SC7,SC8,SC9,SC10,SC11
1106,C16orf95,EarlyInter,-0.100833355,0.374016248,-0.41951997,1.114232004,-0.659849971,-0.409438595,-0.170955831,0.179086692,-0.750735668,0.561630755,-1.839875937,2.122243628
1107,AKR7A2,EarlyInter,0.253253198,0.958242398,-0.066003345,-0.018801687,-1.133908479,0.647067355,0.226494086,0.913229837,-0.35094141,0.790065844,-2.560988937,0.342291141
1108,ATP6V0E2-AS1,EarlyInter,-0.247867612,-0.509242729,-0.937596807,0.946324561,-1.094228446,-0.0090036,0.308485346,-0.111197191,0.408806518,-0.152623546,-1.094228446,2.492371953
1109,ADCK2,EarlyInter,-0.48522822,0.116042133,-1.355192982,0.132647436,-0.138919413,0.277924498,-0.464636349,0.190758627,0.954838956,1.035343169,-1.938683842,1.675105986
1110,DMC1,EarlyInter,0.199743157,0.263909899,-0.952648254,1.064830557,-0.807054688,-0.287733408,-0.883836164,0.326994078,-0.996398645,0.799123807,-0.910247288,2.18331695
1111,AGBL4,EarlyInter,0.851408575,0.787238068,0.005203098,-0.249434553,2.421247766,0.343928785,-0.849116359,0.085990055,-0.849116359,-0.849116359,-0.849116359,-0.849116359
1112,BOLA1,EarlyInter,0.134684053,-0.21797084,-0.35718439,0.089969777,-1.230356116,0.85987784,-0.368697288,-0.237613399,-0.945576818,2.124843047,-1.136995926,1.285020059
1113,CD81-AS1,EarlyInter,-0.212389225,-0.052208567,-0.458869428,-0.35312259,-0.346011996,-0.737131679,-0.43037517,2.334074559,1.797083074,-0.066785618,-0.737131679,-0.737131679
1115,CCDC74B,EarlyInter,0.059496482,1.319825349,0.076122857,1.903352553,-0.253464181,0.678888042,-0.769935057,0.072896374,-1.456693466,0.428646316,-1.225802324,-0.833332944
1116,EP300-AS1,EarlyInter,0.312330426,-1.333862569,0.779678071,-0.523174649,-1.333862569,0.161507786,-0.483948168,0.337578654,1.559040144,1.204300984,-1.333862569,0.654274457
1117,C8orf88,EarlyInter,0.268051801,0.844352005,-0.22820615,1.660726354,-1.309808698,-0.638901899,-0.497900422,0.571434545,-1.135194434,-0.423191216,-0.748219216,1.63685733
