Gene_name,stat
Nebl,5.815
Fbxo44,5.806
Hint3,5.803
Plaat3,5.803
Ell2,5.801
Prrx1,5.793
Cuedc1,5.792
Lasp1,5.787
Tpi1,5.784
Pdzd2,5.776
Nck2,5.769
Sh3glb1,5.759
Ahr,5.75
Vamp2,5.746
Epb41l4a,5.743
Pard6g,5.741
Kdr,5.734
Nt5dc2,5.732
Chpf,5.727
Msrb2,5.724
Foxa2,5.721
Mfsd1,5.72
Srr,5.71
Draxin,5.702
Nlgn2,5.697
Reep3,5.683
Amigo1,5.68
Eml2,5.673
Cirbp,5.67
Atxn1l,5.667
Cbx6,5.663
Eng,5.652
Slc44a2,5.649
Glb1l,5.647
Arhgef2,5.643
Rabepk,5.643
Ly6c2,5.641
Ostf1,5.639
Krt7,5.638
Tmc6,5.636
Myom1,5.634
Dennd1a,5.633
Psd3,5.629
Acp2,5.626
Mroh1,5.624
Gna14,5.623
Ppic,5.623
Slc39a3,5.621
Capn5,5.617
Hps1,5.616
Atoh8,5.612
Scap,5.608
Rab3a,5.607
Gmfb,5.597
Mcoln1,5.597
Prnp,5.592
Myo1d,5.589
Plppr3,5.588
Slc35a2,5.587
Enho,5.586
Enpep,5.583
Herpud2,5.581
Uimc1,5.581
Pgghg,5.578
Krcc1,5.574
Hs3st1,5.568
Calhm2,5.567
Lrrc74b,5.567
Cbx5,5.566
Id2,5.566
Eri3,5.564
Zfp174,5.564
Sgcb,5.561
Ginm1,5.56
Slc44a5,5.557
Steep1,5.552
Aif1l,5.549
Sertad4,5.547
E130311K13Rik,5.546
Tbc1d22b,5.543
Efna1,5.541
Edn1,5.54
Nupr1,5.54
Wipi2,5.539
Il2rb,5.537
Gne,5.534
Snai2,5.534
Adamtsl1,5.53
Fbh1,5.529
Zcchc24,5.529
Diras1,5.525
Ergic3,5.525
Camkk2,5.523
Tnfsf9,5.515
Ncoa4,5.514
Gstz1,5.512
Arsk,5.508
Ttll7,5.507
Shroom1,5.506
Ncstn,5.499
Tmub2,5.498
En1,5.497
Csdc2,5.496
Ifi35,5.494
Tsc22d4,5.494
Proser2,5.493
Gak,5.486
Stmnd1,5.481
Acadvl,5.479
Slc17a5,5.471
Trappc12,5.471
Ppil2,5.467
Cryz,5.464
Ctxn3,5.461
Fbxo21,5.457
Irak1,5.456
Serpinb6b,5.455
Def8,5.454
Gbp2,5.451
Gng7,5.451
Tbc1d32,5.451
Tmem205,5.45
Crybg3,5.446
Dynlt2b,5.443
Tamalin,5.441
Lyplal1,5.44
Npy1r,5.438
Tmem59,5.436
Ptgr2,5.434
Fam120b,5.432
Erap1,5.429
Xpa,5.429
Pitpna,5.428
Emilin1,5.426
Themis,5.425
Il33,5.422
Fkbp9,5.415
Slc31a1,5.413
Trps1,5.409
Fancg,5.408
Ppp1r26,5.403
Sft2d2,5.402
Tax1bp3,5.402
Chchd6,5.396
Oat,5.394
Nudt16,5.391
Spsb4,5.387
Ttc26,5.385
Eya1,5.379
Pex1,5.375
Tspan17,5.375
Retreg2,5.361
Mcur1,5.357
Cln5,5.351
Ankrd42,5.339
Dnajc28,5.337
Ctbs,5.336
Snx25,5.336
Nicn1,5.333
Park7,5.329
9530077C05Rik,5.324
Slc25a16,5.324
Niban1,5.322
Harbi1,5.321
Erlin1,5.317
Rab23,5.317
Clybl,5.316
Cep85,5.315
Nxf3,5.315
Kdelr3,5.314
Neu1,5.309
Tm9sf5,5.307
Nphp4,5.304
Rasl12,5.301
Vps41,5.297
Prkd3,5.295
Dram1,5.294
Arsg,5.293
Btbd17,5.29
Kifc2,5.29
Camk2g,5.289
Dynlrb1,5.288
Resf1,5.288
Dgkg,5.284
Ppt1,5.284
Sdccag8,5.284
Kiz,5.283
Ust,5.279
Isg20,5.278
Caps2,5.277
Ccs,5.276
Fgfr1,5.276
Lamb2,5.27
Tbc1d14,5.266
